start_idx,start_ts,rule_sharpe,ml_sharpe,delta_sharpe,gated_sharpe,delta_gated_sharpe,rule_total_return_pct,ml_total_return_pct,delta_total_return_pct,gated_total_return_pct,delta_gated_total_return_pct,rule_max_drawdown_pct,ml_max_drawdown_pct,delta_max_drawdown_pct,gated_max_drawdown_pct,delta_gated_max_drawdown_pct,rule_final_capital_usdt,ml_final_capital_usdt,delta_final_capital_usdt,gated_final_capital_usdt,delta_gated_final_capital_usdt,start_regime
22956,2022-07-05 02:00:00,0.9783811750583473,1.6889897172627049,0.7106085422043575,1.1684260631852914,0.1900448881269441,61.583558103800314,126.239229999759,64.65567189595869,76.16150243421028,14.577944330409963,-62.58009353127878,-31.792799253881775,30.787294277397002,-50.30610060039105,12.27399293088773,807.9177905190016,1131.1961499987951,323.2783594797935,880.8075121710514,72.88972165204973,crash
7939,2020-10-16 14:00:00,1.6947644662572021,1.7726350054210036,0.07787053916380149,1.7290053746171046,0.034240908359902456,322.39763649415033,383.6312435636873,61.23360706953696,348.35626456653614,25.958628072385807,-80.92860580676054,-80.92860580676054,0.0,-80.92860580676054,0.0,2111.988182470752,2418.1562178184363,306.1680353476845,2241.7813228326804,129.79314036192864,sideways
41603,2024-08-20 02:00:00,0.2877543716982155,-0.5070543362566595,-0.794808707954875,-0.6177077963701637,-0.9054621680683792,-9.707517211720528,-26.549885462336974,-16.842368250616445,-43.621148042995074,-33.913630831274546,-66.79680502741807,-54.165764361018354,12.63104066639972,-69.57035591127642,-2.7735508838583485,451.46241394139736,367.2505726883151,-84.21184125308224,281.89425978502464,-169.5681541563727,sideways
37577,2024-03-05 08:00:00,-0.24895332121216535,-0.9084595106900051,-0.6595061894778398,-0.9924772163219734,-0.743523895109808,-44.41259764454316,-38.22444151685354,6.1881561276896235,-57.663241075882944,-13.250643431339782,-64.88646065282595,-43.41712157937181,21.469339073454137,-61.35688190028543,3.529578752540516,277.93701177728417,308.8777924157323,30.940780638448132,211.68379462058527,-66.2532171566989,strong_trend
2712,2020-03-12 14:00:00,1.0292461083394755,1.0292461083394755,0.0,1.0292461083394755,0.0,58.08862449498573,58.08862449498573,0.0,58.08862449498573,0.0,-80.92860580676054,-80.92860580676054,0.0,-80.92860580676054,0.0,790.4431224749286,790.4431224749286,0.0,790.4431224749286,0.0,crash
9874,2021-01-05 11:00:00,1.113090146770788,1.3779507449009252,0.26486059813013707,1.2271721922124952,0.11408204544170708,65.28017946271308,156.03226308991034,90.75208362719727,101.22650777025979,35.94632830754671,-80.92860580676054,-80.92860580676054,0.0,-80.92860580676054,0.0,826.4008973135653,1280.1613154495517,453.76041813598636,1006.1325388512989,179.7316415377336,sideways
805,2019-12-23 20:00:00,0.5550589699021654,0.5550589699021654,0.0,0.5550589699021654,0.0,4.958738267370166,4.958738267370166,0.0,4.958738267370166,0.0,-58.41981139961536,-58.41981139961536,0.0,-58.41981139961536,0.0,524.7936913368509,524.7936913368509,0.0,524.7936913368509,0.0,sideways
13849,2021-06-20 09:00:00,1.624072161192392,2.232800347845393,0.608728186653001,2.0731821801772012,0.4491100189848092,222.26243551409732,382.9746903501214,160.7122548360241,342.30777920724285,120.04534369314553,-67.86283304393508,-47.71556288928681,20.147270154648275,-59.295522569020164,8.567310474914919,1611.3121775704867,2414.8734517506073,803.5612741801206,2211.5388960362143,600.2267184657276,strong_trend
5114,2020-06-20 18:00:00,1.3866349773677038,1.3866349773677038,0.0,1.3866349773677038,0.0,149.98648069745556,149.98648069745556,0.0,149.98648069745556,0.0,-80.92860580676056,-80.92860580676056,0.0,-80.92860580676056,0.0,1249.932403487278,1249.932403487278,0.0,1249.932403487278,0.0,sideways
36313,2024-01-12 16:00:00,0.36727667443944684,-0.8050247500752294,-1.1723014245146763,-0.10060320535797708,-0.4678798797974239,-2.5329684412550235,-33.428074904290575,-30.895106463035553,-23.697167079215976,-21.164198637960954,-59.59571042239371,-43.92925485666299,15.666455565730715,-56.29566334797723,3.300047074416476,487.3351577937249,332.8596254785471,-154.47553231517776,381.5141646039201,-105.82099318980477,sideways
