Date,BTC-USD,ETH-USD
2024-03-06,66106.8046875,3819.226318359375
2024-03-07,66925.484375,3874.34765625
2024-03-08,68300.09375,3892.06103515625
2024-03-09,68498.8828125,3915.4189453125
2024-03-10,69019.7890625,3881.193115234375
2024-03-11,72123.90625,4066.445068359375
2024-03-12,71481.2890625,3980.273193359375
2024-03-13,73083.5,4006.45703125
2024-03-14,71396.59375,3883.140380859375
2024-03-15,69403.7734375,3735.22021484375
2024-03-16,65315.1171875,3522.860107421875
2024-03-17,68390.625,3642.4130859375
2024-03-18,67548.59375,3517.985107421875
2024-03-19,61912.7734375,3157.6181640625
2024-03-20,67913.671875,3513.39306640625
2024-03-21,65491.390625,3492.9912109375
2024-03-22,63778.76171875,3333.68798828125
2024-03-23,64062.203125,3336.593994140625
2024-03-24,67234.171875,3454.636474609375
2024-03-25,69958.8125,3590.8837890625
2024-03-26,69987.8359375,3587.5048828125
2024-03-27,69455.34375,3500.115234375
2024-03-28,70744.953125,3561.2939453125
2024-03-29,69892.828125,3511.80615234375
2024-03-30,69645.3046875,3507.9443359375
2024-03-31,71333.6484375,3647.8564453125
2024-04-01,69702.1484375,3505.030029296875
2024-04-02,65446.97265625,3277.234619140625
2024-04-03,65980.8125,3311.44189453125
2024-04-04,68508.84375,3330.04052734375
2024-04-05,67837.640625,3318.88525390625
2024-04-06,68896.109375,3354.183837890625
2024-04-07,69362.5546875,3453.49462890625
2024-04-08,71631.359375,3695.292724609375
2024-04-09,69139.015625,3505.163330078125
2024-04-10,70587.8828125,3543.737060546875
2024-04-11,70060.609375,3505.247802734375
2024-04-12,67195.8671875,3243.034912109375
2024-04-13,63821.47265625,3004.900390625
2024-04-14,65738.7265625,3156.94189453125
2024-04-15,63426.2109375,3101.600341796875
2024-04-16,63811.86328125,3084.920166015625
2024-04-17,61276.69140625,2984.7275390625
2024-04-18,63512.75390625,3066.027587890625
2024-04-19,63843.5703125,3059.278564453125
2024-04-20,64994.44140625,3157.627197265625
2024-04-21,64926.64453125,3147.28857421875
2024-04-22,66837.6796875,3201.652099609375
2024-04-23,66407.2734375,3219.91162109375
2024-04-24,64276.8984375,3139.80517578125
2024-04-25,64481.70703125,3156.509521484375
2024-04-26,63755.3203125,3130.164794921875
2024-04-27,63419.140625,3252.168212890625
2024-04-28,63113.23046875,3262.774658203125
2024-04-29,63841.12109375,3215.428955078125
2024-04-30,60636.85546875,3012.286865234375
2024-05-01,58254.01171875,2969.78466796875
2024-05-02,59123.43359375,2988.16845703125
2024-05-03,62889.8359375,3103.5419921875
2024-05-04,63891.47265625,3117.576416015625
2024-05-05,64031.1328125,3137.2490234375
2024-05-06,63161.94921875,3062.728759765625
2024-05-07,62334.81640625,3006.5771484375
2024-05-08,61187.94140625,2973.6572265625
2024-05-09,63049.9609375,3036.0205078125
2024-05-10,60792.77734375,2909.791259765625
2024-05-11,60793.7109375,2911.60205078125
2024-05-12,61448.39453125,2928.701904296875
2024-05-13,62901.44921875,2949.359619140625
2024-05-14,61552.7890625,2881.157958984375
2024-05-15,66267.4921875,3037.056640625
2024-05-16,65231.58203125,2945.131103515625
2024-05-17,67051.875,3094.11865234375
2024-05-18,66940.8046875,3122.948974609375
2024-05-19,66278.3671875,3071.843017578125
2024-05-20,71448.1953125,3663.85546875
2024-05-21,70136.53125,3789.312744140625
2024-05-22,69122.3359375,3737.2177734375
2024-05-23,67929.5625,3776.92724609375
2024-05-24,68526.1015625,3726.9345703125
2024-05-25,69265.9453125,3749.236572265625
2024-05-26,68518.09375,3825.8974609375
2024-05-27,69394.5546875,3892.0068359375
2024-05-28,68296.21875,3840.25634765625
2024-05-29,67578.09375,3763.196533203125
2024-05-30,68364.9921875,3746.849609375
2024-05-31,67491.4140625,3760.026611328125
2024-06-01,67706.9375,3813.198974609375
2024-06-02,67751.6015625,3780.89599609375
2024-06-03,68804.78125,3766.38916015625
2024-06-04,70567.765625,3812.515869140625
2024-06-05,71082.8203125,3864.260986328125
2024-06-06,70757.1640625,3811.60595703125
2024-06-07,69342.5859375,3678.629150390625
2024-06-08,69305.7734375,3680.949951171875
2024-06-09,69647.9921875,3705.90380859375
2024-06-10,69512.28125,3666.717529296875
2024-06-11,67332.03125,3498.33056640625
2024-06-12,68241.1875,3559.61767578125
2024-06-13,66756.3984375,3469.28125
2024-06-14,66011.09375,3480.27197265625
2024-06-15,66191.0,3565.549560546875
2024-06-16,66639.046875,3620.5634765625
2024-06-17,66490.296875,3511.37890625
2024-06-18,65140.74609375,3483.681396484375
2024-06-19,64960.296875,3559.347412109375
2024-06-20,64828.65625,3511.0869140625
2024-06-21,64096.19921875,3516.07568359375
2024-06-22,64252.578125,3494.8134765625
2024-06-23,63180.796875,3418.61181640625
2024-06-24,60277.4140625,3350.25634765625
2024-06-25,61804.640625,3395.029052734375
2024-06-26,60811.27734375,3369.477294921875
2024-06-27,61604.80078125,3444.800537109375
2024-06-28,60320.13671875,3373.635986328125
2024-06-29,60887.37890625,3372.9677734375
2024-06-30,62678.29296875,3432.88916015625
2024-07-01,62851.98046875,3440.341552734375
2024-07-02,62029.015625,3416.354736328125
2024-07-03,60173.921875,3292.916748046875
2024-07-04,56977.703125,3054.52197265625
2024-07-05,56662.375,2981.5986328125
2024-07-06,58303.5390625,3069.3779296875
2024-07-07,55849.109375,2929.38720703125
2024-07-08,56705.09765625,3018.73193359375
2024-07-09,58009.2265625,3064.032958984375
2024-07-10,57742.49609375,3102.21875
2024-07-11,57344.9140625,3100.330810546875
2024-07-12,57899.46484375,3134.15869140625
2024-07-13,59231.953125,3177.19873046875
2024-07-14,60787.79296875,3244.0791015625
2024-07-15,64870.15234375,3489.552734375
2024-07-16,65097.1484375,3443.513427734375
2024-07-17,64118.79296875,3388.75244140625
2024-07-18,63974.06640625,3426.258544921875
2024-07-19,66710.15625,3505.73486328125
2024-07-20,67163.6484375,3519.29541015625
2024-07-21,68154.5234375,3536.60546875
2024-07-22,67585.25,3440.419921875
2024-07-23,65927.671875,3481.995849609375
2024-07-24,65372.1328125,3336.33935546875
2024-07-25,65777.2265625,3174.42724609375
2024-07-26,67912.0625,3275.951416015625
2024-07-27,67813.3359375,3247.60791015625
2024-07-28,68255.8671875,3271.464599609375
2024-07-29,66819.9140625,3320.539306640625
2024-07-30,66201.015625,3278.667724609375
2024-07-31,64619.25,3231.295654296875
2024-08-01,65357.5,3201.564453125
2024-08-02,61415.06640625,2986.01318359375
2024-08-03,60680.09375,2903.3857421875
2024-08-04,58116.9765625,2686.39892578125
2024-08-05,53991.45703125,2417.206298828125
2024-08-06,56034.31640625,2458.723876953125
2024-08-07,55027.4609375,2336.58935546875
2024-08-08,61710.13671875,2683.352783203125
2024-08-09,60880.11328125,2599.5986328125
2024-08-10,60945.8125,2610.02294921875
2024-08-11,58719.484375,2553.252197265625
2024-08-12,59354.515625,2724.431884765625
2024-08-13,60609.56640625,2703.671875
2024-08-14,58737.26953125,2662.914794921875
2024-08-15,57560.09765625,2570.087646484375
2024-08-16,58894.10546875,2593.1865234375
2024-08-17,59478.97265625,2614.546875
2024-08-18,58483.96484375,2613.357177734375
2024-08-19,59493.453125,2637.306396484375
2024-08-20,59012.79296875,2573.10693359375
2024-08-21,61175.19140625,2631.3955078125
2024-08-22,60381.9140625,2622.951416015625
2024-08-23,64094.35546875,2764.447021484375
2024-08-24,64178.9921875,2769.3896484375
2024-08-25,64333.54296875,2749.15771484375
2024-08-26,62880.66015625,2681.340576171875
2024-08-27,59504.1328125,2458.7265625
2024-08-28,59027.625,2528.41552734375
2024-08-29,59388.1796875,2528.792724609375
2024-08-30,59119.4765625,2525.822021484375
2024-08-31,58969.8984375,2513.393798828125
