task,asset,category,timeframe,horizon_bars,variant,split,status,reason,return_pct,sharpe,sortino,max_drawdown_pct,profit_factor,expectancy_pct,win_rate_pct,average_win_pct,average_loss_pct,trades,coverage_pct,turnover,fees_pct,funding_pct,directional_accuracy_pct,mae_pct,range_coverage_pct,chronos_load_seconds,chronos_mean_inference_seconds,chronos_forecasts,mc_status,mc_runs,mc_median_return_pct,mc_return_p05_pct,mc_return_p95_pct,mc_median_max_drawdown_pct,mc_max_drawdown_p95_pct,mc_probability_negative_pct,mc_worst_drawdown_pct
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",-65.39178318222406,-0.906355320808384,-0.8124895173332368,-72.03704713164184,0.7610039745663,-0.5934345381534362,30.23255813953488,6.2502036555394005,-3.5590110887536643,129.0,36.35882508600159,257.0,14.135,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN_CHRONOS,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",3.698665178764049,0.4505549537343842,0.3523432250611901,-65.42657995079976,1.192439207942121,0.6099574602927375,33.33333333333333,11.3387058480611,-4.754416733591445,60.0,30.755148741418765,119.0,6.544999999999999,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN_CHRONOS,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",75.81653349582582,1.3059540695828085,1.0717158708781611,-32.348680138237754,1.689249186590413,1.6198157945132043,36.53846153846153,10.865077495325425,-3.7032136695908,52.0,35.56064073226545,104.0,5.72,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN_CHRONOS,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",-27.112517982032013,-0.1889784064909137,-0.1794806407774965,-62.28411675935751,0.9756997159554546,-0.0643311371490442,30.136986301369863,8.570896211017958,-3.789331169691672,73.0,42.94842537654039,146.0,8.03,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN_CHRONOS,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",-65.39178318222406,-0.906355320808384,-0.8124895173332368,-72.03704713164184,0.7610039745663,-0.5934345381534362,30.23255813953488,6.2502036555394005,-3.5590110887536643,129.0,36.35882508600159,257.0,14.135,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_ONLY,WF1,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-62.26148164845362,-0.3031126418548761,-0.2528889733199682,-79.29333471636592,0.8659513375756817,-0.658601744240937,27.27272727272727,15.600025546563945,-6.755586978292767,66.0,37.02517162471396,130.0,7.15,0.0,,,,,,,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_ONLY,WF2,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-27.817017696543434,-0.2542508735588404,-0.2265690153201086,-57.99837370063084,0.943260824777732,-0.1542323411993104,28.125,9.116574793555223,-3.781939480885868,64.0,38.76430205949657,128.0,7.04,0.0,,,,,,,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_ONLY,WF3,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,76.66521452314376,1.08082595918854,1.0002689267549556,-45.59624974655636,1.5204134612292477,1.2936949743187698,33.33333333333333,11.338780029053206,-3.728847553048448,69.0,38.8407120036513,137.0,7.535,0.0,,,,,,,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_ONLY,FINAL_HOLDOUT,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-63.86540594304245,-0.2432744697660157,-0.2100945477437917,-77.65232633253136,0.9379030654062748,-0.2413266019289806,37.1900826446281,9.800897510566688,-6.187380352748787,121.0,36.72929346387933,243.0,13.364999999999998,0.0,,,,,,,TESTED,5000.0,-12.278237047692,-87.01730960616862,505.39491823789314,72.8972956840133,92.4713253333697,54.3,99.5703019392516
ETH Swing,ETH/USDT,SWING,4h,42,RULE_CHRONOS,WF1,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-26.236805623861105,0.0679418783844766,0.0412319825091718,-70.73832409504834,1.01863612094109,0.1009224814148675,25.0,22.065382663947517,-7.220564246096014,32.0,19.40503432494279,64.0,3.52,0.0,50.495049504950494,10.066716165419685,77.22772277227723,1.8999999156221747e-06,0.0279085344827494,203.0,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_CHRONOS,WF2,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,22.955149969778454,0.6623461661445564,0.4376447467751602,-37.72054094685415,1.4471142732998792,1.2030667870855312,32.25806451612903,12.07079082954296,-3.972039899798959,31.0,18.39816933638444,62.0,3.41,0.0,50.495049504950494,10.066716165419685,77.22772277227723,1.8999999156221747e-06,0.0279085344827494,203.0,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_CHRONOS,WF3,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,77.93023230722378,1.3597503578176966,0.8436716951021513,-33.98701310951898,1.9662347836751997,2.295846643315251,43.75,10.678678821784375,-4.224133939938513,32.0,22.18165221360109,63.0,3.465,0.0,50.495049504950494,10.066716165419685,77.22772277227723,1.8999999156221747e-06,0.0279085344827494,203.0,,,,,,,,,
ETH Swing,ETH/USDT,SWING,4h,42,RULE_CHRONOS,FINAL_HOLDOUT,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-54.52532126115555,-0.6288632107008225,-0.3018253651815935,-67.12404964280039,0.7623431356589913,-0.9718391004162232,38.0,8.203721396720722,-6.595569727693705,50.0,13.442709711563904,101.0,5.555000000000001,0.0,50.495049504950494,10.066716165419685,77.22772277227723,1.8999999156221747e-06,0.0279085344827494,203.0,TESTED,5000.0,11.210845961533078,-70.65165623580783,352.4267894607308,56.0249905579846,81.4636826555263,44.82,95.73676789583725
