symbol,candidate_id,family,stop_atr_multiple,parameter_stability,robust,validation_sharpe,validation_return_pct,walk_forward_median_sharpe,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,trades,dynamic_leverage_sharpe,dynamic_leverage_return_pct,dynamic_leverage_max_drawdown_pct,dynamic_leverage_no_trade_or_below_1x_pct
BTC/USDT,vol_breakout_20_1.5,volatility_breakout,2.5,1.0,False,0.009186521716465784,-1.8730446575820792,0.0066744553738316975,0.08503481366621156,-0.05179797907621797,-25.091026998301245,-0.2621881400187169,40.0,92,,,,
BTC/USDT,vol_breakout_40_1.0,volatility_breakout,2.5,0.8,False,0.37173918947501355,8.91578880142967,-0.20947187749721952,-0.8108844004325072,-37.6936891502553,-46.85758163856561,0.01286408039521121,47.0,260,,,,
BTC/USDT,vol_breakout_40_1.5,volatility_breakout,2.5,0.8,False,0.47296879024551003,10.190987149957941,-0.12944528068912367,-0.5123796011393476,-18.787351605474576,-38.453570719835675,0.11023765090866466,50.0,100,,,,
BTC/USDT,vol_breakout_60_1.0,volatility_breakout,2.5,0.8,False,0.22352529466324508,3.455119583852806,-0.2680481983903168,-0.728060715818525,-34.20233718562273,-48.890436825024295,-0.08974095399230501,42.5,232,,,,
BTC/USDT,vol_breakout_60_1.5,volatility_breakout,2.5,0.8,False,0.40662469296686515,8.633353439085422,-0.14797012751265304,-0.6483507015274028,-23.738951682446064,-41.51875506596039,0.058285587045540856,46.5,105,,,,
BTC/USDT,mean_reversion_24_1.5_0.02,mean_reversion,2.0,0.4,False,-1.1844492859043467,-25.737528159282597,-0.8932125226641406,-1.5522487596733991,-45.541013220029114,-48.47435339898119,-0.6801247157986432,7.5,441,,,,
BTC/USDT,mean_reversion_24_1.5_0.04,mean_reversion,2.0,0.4,False,-1.2430361800381113,-27.268531660680996,-0.8448768519545822,-1.5522487596733991,-45.541013220029114,-48.47435339898119,-0.5305727073265818,1.0,441,,,,
BTC/USDT,mean_reversion_24_2.0_0.02,mean_reversion,2.0,0.4,False,-1.155238948018506,-23.484982995274816,-1.1604485546649597,-1.6093957152570686,-44.39117594655747,-45.09746095728981,-0.8488648714384057,5.5,335,,,,
BTC/USDT,mean_reversion_24_2.0_0.04,mean_reversion,2.0,0.4,False,-1.323693480961193,-26.634174853972148,-0.9198086696976671,-1.6093957152570686,-44.39117594655747,-45.09746095728981,-0.8399910183231568,6.0,335,,,,
BTC/USDT,mean_reversion_48_1.5_0.02,mean_reversion,2.0,0.4,False,0.7043505734220266,13.623818216359119,-0.4115408418114394,-0.34398769495578746,-12.18535846986497,-25.6749524301509,0.3448024891115869,55.50000000000001,221,,,,
BTC/USDT,mean_reversion_48_1.5_0.04,mean_reversion,2.0,0.4,False,1.0561716198707447,22.732585902309243,-0.28563072628672354,-0.08357157675904325,-4.952290152707761,-25.674952430151134,0.5246310716834793,60.0,223,,,,
BTC/USDT,mean_reversion_48_2.0_0.02,mean_reversion,2.0,0.4,False,0.48253244985155946,7.727645664234584,0.19761652694395704,0.36043568233785095,8.457879269632528,-14.242302857788092,0.4740894535488787,64.5,166,,,,
BTC/USDT,mean_reversion_48_2.0_0.04,mean_reversion,2.0,0.4,False,0.8843103026686538,16.363740746353383,0.19761652694395704,0.36043568233785095,8.457879269632528,-14.242302857788092,0.6147536239741223,65.5,166,,,,
BTC/USDT,momentum_filter_6_24_6,momentum_trend_filter,2.5,0.0,False,-4.166523997276749,-89.86805241770894,-3.605805991603991,-3.3780324514514075,-93.02977916261996,-93.72450989804616,-3.4259001546871715,0.0,1894,,,,
BTC/USDT,momentum_filter_6_24_12,momentum_trend_filter,2.5,0.0,False,-2.808574110078016,-79.01943039099075,-2.4004957957666315,-2.523518669923426,-87.48643759785155,-88.83517637526627,-2.254824998801458,0.0,1366,,,,
BTC/USDT,momentum_filter_6_48_6,momentum_trend_filter,2.5,0.0,False,-4.40089191591752,-90.57765013364052,-3.3628812701899617,-3.019903984713252,-90.39989950612481,-91.61771141998712,-3.312078168508286,0.0,1787,,,,
BTC/USDT,momentum_filter_6_48_12,momentum_trend_filter,2.5,0.0,False,-2.887464164643853,-79.77104253803049,-1.976313325564426,-1.7496275637981333,-76.62841133136085,-83.254660836242,-2.037090436480462,0.0,1293,,,,
BTC/USDT,momentum_filter_12_24_6,momentum_trend_filter,2.5,0.0,False,-4.306209907337736,-90.14104223475485,-3.523613452199233,-3.275675525166015,-91.92176482780826,-92.83467882354893,-3.4603301437472673,0.0,1819,,,,
BTC/USDT,momentum_filter_12_24_12,momentum_trend_filter,2.5,0.0,False,-2.678894621764454,-77.90601080110378,-2.242947090284922,-2.1606436104612707,-82.95029714911757,-85.95428690968849,-2.1559227426613248,0.0,1333,,,,
