target,timeframe,horizon,feature_set_id,model_id,split_id,metric_roc_auc,metric_pr_auc,metric_log_loss,metric_brier_score,metric_balanced_accuracy,metric_accuracy,metric_mean_forward_return
BTC/USDT,1h,3d,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5497882897421154,0.5776231583345308,0.6973033515255288,0.25072009249701027,0.5467170579650084,0.559995433268638,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1,hist_gradient_boosting,wf_2024,0.4685947468989863,0.5144395172057799,0.7090204669704567,0.25741273049358415,0.4830738925622684,0.49943078324225865,0.007492525517455866
BTC/USDT,1h,3d,crypto_core_v1,logistic_regression,wf_2022,0.46242720110390323,0.42704870486791335,0.6980098952219933,0.2524216665838376,0.4665407416526791,0.4702054794520548,-0.006866674626530365
BTC/USDT,1h,3d,crypto_core_v1,logistic_regression,wf_2023,0.5408536943239797,0.6209133123910634,0.6913616436330304,0.24911790987100998,0.5334920949526618,0.5119305856832972,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1,logistic_regression,wf_2024,0.49696558770647736,0.546618105248242,0.6952350769625179,0.2510432558236429,0.4985408807265456,0.48895719489981787,0.007492525517455866
BTC/USDT,1h,3d,crypto_core_v1,random_forest,wf_2022,0.48162270953652886,0.4536435590736958,0.7150937436817879,0.260299831675673,0.49006008238253995,0.4858447488584475,-0.006866674626530365
BTC/USDT,1h,3d,crypto_core_v1,random_forest,wf_2023,0.5533625335855059,0.5813231697240868,0.6955583854621004,0.25068677980985454,0.5507826967853275,0.5500627925562279,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1,random_forest,wf_2024,0.47375669540016735,0.5218484494928594,0.70780500600692,0.25702943010487583,0.4788881900819798,0.47893897996357016,0.007492525517455866
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2022,0.5211902114305447,0.4845824275266391,0.8075825789674178,0.29696338658001964,0.525714211677922,0.502283105022831,-0.006866674626530365
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2023,0.5293834386563416,0.5785733145940584,0.7522753118081602,0.274387701664746,0.5133646051680611,0.495376184495947,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2024,0.4833264816592787,0.5356465772047185,1.043340639992434,0.3712282102151356,0.5030253753968661,0.4682377049180328,0.007492525517455866
