symbol,base_candidate_id,policy_id,classification,parameter_stability,validation_sharpe,validation_return_pct,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,walk_forward_median_sharpe,stress_median_sharpe,stress_profitable_pct,partial_event_rate_pct,robust_advantage,trades
ETH/USDT,breakout_atr_60_1.0,partial_donchian_runner,POTENTIALLY ROBUST,0.0,1.0320023319964422,25.15554018965622,1.244574707623183,59.36226735403067,-21.51273331381184,1.136552082679882,1.1330661834430296,99.5,71.65775401069519,False,108
ETH/USDT,breakout_atr_60_1.0,partial_ema_runner,NOT ROBUST,0.0,0.9905413644244229,22.065730974880292,0.8132245319656483,31.718263740606222,-20.508282884317232,1.1841421989254235,0.9791032204902383,95.5,65.0485436893204,False,117
ETH/USDT,breakout_atr_60_1.0,atr_grid_0.5_1.0,NOT ROBUST,1.0,0.7120271769878304,15.084008573377861,0.9839224243478278,40.91457318952247,-20.291735220794948,0.8667648858242162,0.9702754442686004,93.0,82.30563002680965,False,108
ETH/USDT,breakout_atr_60_1.0,atr_grid_1.0_2.0,POTENTIALLY ROBUST,1.0,1.0157094137026301,24.685656426592594,1.2622478482544022,60.50148699828624,-21.51273331381184,1.158741080901224,1.1930330446774238,100.0,71.84986595174263,False,108
ETH/USDT,breakout_atr_60_1.0,atr_grid_1.5_3.0,POTENTIALLY ROBUST,1.0,1.0391563465310476,27.08087783798099,1.2318619905366688,62.817473303321194,-21.480336736906914,1.1790436329863665,1.2331274747332857,100.0,64.07506702412869,False,108
ETH/USDT,breakout_atr_60_1.0,atr_grid_2.0_4.0,POTENTIALLY ROBUST,1.0,1.1337365607723209,31.859476542662613,1.2637881835657274,70.29662238340113,-20.644887347853924,1.2610245291179327,1.316924303691473,100.0,57.9088471849866,False,108
ETH/USDT,breakout_atr_60_1.0,fixed_pct_0.005_0.010,NOT ROBUST,1.0,0.6746422202790406,14.147077947888764,1.029228159921636,42.091665197599035,-16.553177759410175,0.7946839909211736,0.9407613915733124,92.0,80.9651474530831,False,108
ETH/USDT,breakout_atr_60_1.0,fixed_pct_0.010_0.020,NOT ROBUST,1.0,0.8667267809125272,20.2316176078166,1.1742917286837604,53.29508100827856,-18.67179213822506,1.0878009821836614,1.1895065419751116,99.0,72.38605898123325,False,108
ETH/USDT,breakout_atr_60_1.0,vol_normalized_0.50_0.75,POTENTIALLY ROBUST,1.0,1.010180157761881,38.178569193177616,1.519942708019862,128.80217031103598,-26.32581274464284,1.186337472331266,1.1851792316676275,99.5,0.2680965147453083,False,108
ETH/USDT,breakout_atr_60_1.0,vol_normalized_0.75_1.00,POTENTIALLY ROBUST,1.0,1.010180157761881,38.178569193177616,1.5218333650596074,129.40340716623257,-26.32581274464284,1.186337472331266,1.1877519063224082,99.5,0.0,False,108
ETH/USDT,breakout_atr_60_1.0,atr_dynamic_0.50_1.00,POTENTIALLY ROBUST,1.0,1.0621935435513556,26.32823467561025,1.175744088057171,56.79285469164592,-21.512875843924306,1.157336688421612,1.2060781035949117,99.5,72.11796246648794,False,108
ETH/USDT,breakout_atr_60_1.0,atr_dynamic_0.75_1.00,POTENTIALLY ROBUST,1.0,1.1214977438650686,28.76604858347762,1.0790718379200706,52.97871675108821,-21.384140156910604,1.121043483987492,1.2291854903732269,100.0,64.07506702412869,False,108
SOL/USDT,breakout_atr_60_1.0,runner_25_25_50,NOT ROBUST,0.0,-1.023114186716185,-31.868374346239648,0.44575436433996707,14.921516923421429,-21.143771423109637,-0.44400548815368,-0.5032701695973095,26.5,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,runner_33_33_34,NOT ROBUST,0.0,-1.1742107067520249,-32.05818882019512,0.34466820446737095,9.458786695973242,-19.364253956238684,-0.38307921518241655,-0.5695041075428855,27.500000000000004,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,runner_50_50,NOT ROBUST,0.0,-1.0433197485765222,-32.00387619808092,0.6418129152527972,24.51382329506513,-18.698810312316727,-0.35290709406199816,-0.37459307267586184,36.0,55.140186915887845,False,96
SOL/USDT,breakout_atr_60_1.0,runner_20_30_50,NOT ROBUST,0.0,-1.024183981915789,-32.32190376429074,0.4458693988397578,15.052605508272144,-21.65939814442297,-0.44950393925299587,-0.5033466324798558,28.000000000000004,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,partial_breakeven,NOT ROBUST,0.0,-0.8969476053726537,-25.535913033449898,0.7860766072056108,30.574116892786975,-18.327331759884192,-0.23575813894226516,-0.2606338523801165,39.5,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,partial_atr_trailing,NOT ROBUST,0.0,-0.9765904914659538,-29.364306841811327,0.2867716232701503,7.262293800017505,-22.574442378514835,-0.4614278679765531,-0.49578761743800537,29.5,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,partial_chandelier,NOT ROBUST,0.0,-1.0257422313408213,-30.59968153490261,0.38389089231246115,11.644436969322026,-23.21709532095899,-0.36882500951757224,-0.34529000296327683,35.0,62.17008797653959,False,105
SOL/USDT,breakout_atr_60_1.0,partial_donchian_runner,NOT ROBUST,0.0,-1.10671543959201,-33.80594676248846,0.3795365405339505,11.845953715983114,-20.65758171063694,-0.3811837429560826,-0.49484116503345094,25.5,64.39628482972137,False,98
SOL/USDT,breakout_atr_60_1.0,partial_ema_runner,NOT ROBUST,0.0,-1.140837317439428,-33.08066280412583,0.27319134937682765,6.778532489804512,-24.212081511164275,-0.41500657143174957,-0.5610771283011191,27.0,56.00000000000001,False,112
SOL/USDT,breakout_atr_60_1.0,atr_grid_0.5_1.0,NOT ROBUST,0.0,-1.1350159047611041,-31.087297988185092,0.33151444812812797,9.228686353382853,-20.956864246524777,-0.5575954598721988,-0.6211188296857728,19.0,76.01246105919003,False,96
SOL/USDT,breakout_atr_60_1.0,atr_grid_1.0_2.0,NOT ROBUST,0.0,-1.023114186716185,-31.868374346239648,0.44575436433996707,14.921516923421429,-21.143771423109637,-0.44400548815368,-0.5032701695973095,26.5,64.797507788162,False,96
SOL/USDT,breakout_atr_60_1.0,atr_grid_1.5_3.0,NOT ROBUST,0.0,-0.9508609655240646,-31.7852143627151,0.6937769231416728,28.85375787962832,-19.578827047008552,-0.3908245556262457,-0.3373262059079435,32.5,55.140186915887845,False,96
SOL/USDT,breakout_atr_60_1.0,atr_grid_2.0_4.0,NOT ROBUST,0.0,-0.8476636322512477,-31.060915007216995,0.695181443230828,30.75765694712398,-23.041217321698028,-0.38653206401170415,-0.3102001273051346,30.0,46.728971962616825,False,96
SOL/USDT,breakout_atr_60_1.0,fixed_pct_0.005_0.010,NOT ROBUST,0.0,-1.1401710120038202,-30.000422603616094,0.2806745521931532,7.035054131417362,-20.486890970298276,-0.7283798013382181,-0.6677134924519724,17.5,78.81619937694704,False,96
SOL/USDT,breakout_atr_60_1.0,fixed_pct_0.010_0.020,NOT ROBUST,0.0,-1.1113231888110415,-30.961638170324825,0.35527285561288335,10.396649243861255,-21.076593143043542,-0.6179154246658628,-0.6287184846667139,19.5,72.27414330218068,False,96
SOL/USDT,breakout_atr_60_1.0,vol_normalized_0.50_0.75,POTENTIALLY ROBUST,0.0,-0.6515573209245736,-32.45049891768746,0.6016414173470066,30.741287281755113,-28.972613309068883,-0.38603564169253624,-0.3224402545208507,23.5,0.0,False,96
SOL/USDT,breakout_atr_60_1.0,vol_normalized_0.75_1.00,POTENTIALLY ROBUST,0.0,-0.6515573209245736,-32.45049891768746,0.6016414173470066,30.741287281755113,-28.972613309068883,-0.38603564169253624,-0.3224402545208507,23.5,0.0,False,96
SOL/USDT,breakout_atr_60_1.0,atr_dynamic_0.50_1.00,NOT ROBUST,0.0,-0.9207995114723742,-33.08796081247438,0.5907897366411835,23.122439182682243,-19.885159531737738,-0.22007146567976665,-0.28787831418752036,30.0,55.140186915887845,False,96
SOL/USDT,breakout_atr_60_1.0,atr_dynamic_0.75_1.00,NOT ROBUST,0.0,-0.8313367779229884,-31.502379767432664,0.43429300920308106,15.32102429658373,-21.669856580740365,-0.32023509986650406,-0.3253949916153067,26.5,41.74454828660436,False,96
